Barcode,Original Barcode,Series GEO,Sample GEO
Cy81_FNA_CD45_C11_S227_comb_GSM1850683,Cy81_FNA_CD45_C11_S227_comb,GSE72056,GSM1850683
Cy71_CD45_F03_S543_comb_GSM1850684,Cy71_CD45_F03_S543_comb,GSE72056,GSM1850684
Cy80_II_CD45_F07_S931_comb_GSM1850685,Cy80_II_CD45_F07_S931_comb,GSE72056,GSM1850685
Cy72_CD45_E10_S730_comb_GSM1850686,Cy72_CD45_E10_S730_comb,GSE72056,GSM1850686
Cy71_CD45_E10_S538_comb_GSM1850687,Cy71_CD45_E10_S538_comb,GSE72056,GSM1850687
CY58_1_CD45_F09_S1029_comb_GSM1850688,CY58_1_CD45_F09_S1029_comb,GSE72056,GSM1850688
CY58_1_CD45_B06_S978_comb_GSM1850689,CY58_1_CD45_B06_S978_comb,GSE72056,GSM1850689
Cy80_II_CD45_B12_S888_comb_GSM1850690,Cy80_II_CD45_B12_S888_comb,GSE72056,GSM1850690
CY58_1_CD45_E05_S1013_comb_GSM1850691,CY58_1_CD45_E05_S1013_comb,GSE72056,GSM1850691
Cy71_CD45_C01_S505_comb_GSM1850692,Cy71_CD45_C01_S505_comb,GSE72056,GSM1850692
Cy74_CD45_D08_S428_comb_GSM1850693,Cy74_CD45_D08_S428_comb,GSE72056,GSM1850693
CY58_1_CD45_F04_S1024_comb_GSM1850694,CY58_1_CD45_F04_S1024_comb,GSE72056,GSM1850694
Cy72_CD45_A01_S673_comb_GSM1850695,Cy72_CD45_A01_S673_comb,GSE72056,GSM1850695
Cy80_II_CD45_A09_S873_comb_GSM1850696,Cy80_II_CD45_A09_S873_comb,GSE72056,GSM1850696
CY58_1_CD45_F12_S1032_comb_GSM1850697,CY58_1_CD45_F12_S1032_comb,GSE72056,GSM1850697
CY58_1_CD45_G09_S1041_comb_GSM1850698,CY58_1_CD45_G09_S1041_comb,GSE72056,GSM1850698
Cy81_FNA_CD45_F04_S256_comb_GSM1850699,Cy81_FNA_CD45_F04_S256_comb,GSE72056,GSM1850699
Cy74_CD45_C10_S418_comb_GSM1850700,Cy74_CD45_C10_S418_comb,GSE72056,GSM1850700
Cy80_II_CD45_F11_S935_comb_GSM1850701,Cy80_II_CD45_F11_S935_comb,GSE72056,GSM1850701
Cy74_CD45_G04_S460_comb_GSM1850702,Cy74_CD45_G04_S460_comb,GSE72056,GSM1850702
CY58_1_CD45_C03_S987_comb_GSM1850703,CY58_1_CD45_C03_S987_comb,GSE72056,GSM1850703
Cy81_Bulk_CD45_F04_S160_comb_GSM1850704,Cy81_Bulk_CD45_F04_S160_comb,GSE72056,GSM1850704
Cy81_Bulk_CD45_E03_S147_comb_GSM1850705,Cy81_Bulk_CD45_E03_S147_comb,GSE72056,GSM1850705
Cy72_CD45_F05_S737_comb_GSM1850706,Cy72_CD45_F05_S737_comb,GSE72056,GSM1850706
Cy72_CD45_G03_S747_comb_GSM1850707,Cy72_CD45_G03_S747_comb,GSE72056,GSM1850707
Cy74_CD45_D03_S423_comb_GSM1850708,Cy74_CD45_D03_S423_comb,GSE72056,GSM1850708
Cy80_II_CD45_D04_S904_comb_GSM1850709,Cy80_II_CD45_D04_S904_comb,GSE72056,GSM1850709
Cy74_CD45_G03_S459_comb_GSM1850710,Cy74_CD45_G03_S459_comb,GSE72056,GSM1850710
Cy81_FNA_CD45_A07_S199_comb_GSM1850711,Cy81_FNA_CD45_A07_S199_comb,GSE72056,GSM1850711
Cy71_CD45_B12_S504_comb_GSM1850712,Cy71_CD45_B12_S504_comb,GSE72056,GSM1850712
Cy72_CD45_B05_S689_comb_GSM1850713,Cy72_CD45_B05_S689_comb,GSE72056,GSM1850713
Cy81_Bulk_CD45_A11_S107_comb_GSM1850714,Cy81_Bulk_CD45_A11_S107_comb,GSE72056,GSM1850714
Cy81_Bulk_CD45_C09_S129_comb_GSM1850715,Cy81_Bulk_CD45_C09_S129_comb,GSE72056,GSM1850715
CY58_1_CD45_A07_S967_comb_GSM1850716,CY58_1_CD45_A07_S967_comb,GSE72056,GSM1850716
Cy72_CD45_B09_S693_comb_GSM1850717,Cy72_CD45_B09_S693_comb,GSE72056,GSM1850717
CY58_1_CD45_F03_S1023_comb_GSM1850718,CY58_1_CD45_F03_S1023_comb,GSE72056,GSM1850718
Cy71_CD45_E02_S530_comb_GSM1850719,Cy71_CD45_E02_S530_comb,GSE72056,GSM1850719
Cy71_CD45_B03_S495_comb_GSM1850720,Cy71_CD45_B03_S495_comb,GSE72056,GSM1850720
Cy81_FNA_CD45_C08_S320_comb_GSM1850721,Cy81_FNA_CD45_C08_S320_comb,GSE72056,GSM1850721
Cy81_Bulk_CD45_G05_S173_comb_GSM1850722,Cy81_Bulk_CD45_G05_S173_comb,GSE72056,GSM1850722
Cy74_CD45_G08_S464_comb_GSM1850723,Cy74_CD45_G08_S464_comb,GSE72056,GSM1850723
Cy81_Bulk_CD45_G08_S176_comb_GSM1850724,Cy81_Bulk_CD45_G08_S176_comb,GSE72056,GSM1850724
Cy81_Bulk_CD45_C05_S125_comb_GSM1850725,Cy81_Bulk_CD45_C05_S125_comb,GSE72056,GSM1850725
Cy72_CD45_F02_S734_comb_GSM1850726,Cy72_CD45_F02_S734_comb,GSE72056,GSM1850726
Cy74_CD45_E08_S440_comb_GSM1850727,Cy74_CD45_E08_S440_comb,GSE72056,GSM1850727
Cy81_FNA_CD45_C02_S218_comb_GSM1850728,Cy81_FNA_CD45_C02_S218_comb,GSE72056,GSM1850728
CY58_1_CD45_A04_S964_comb_GSM1850729,CY58_1_CD45_A04_S964_comb,GSE72056,GSM1850729
Cy72_CD45_C10_S706_comb_GSM1850730,Cy72_CD45_C10_S706_comb,GSE72056,GSM1850730
Cy71_CD45_F01_S541_comb_GSM1850731,Cy71_CD45_F01_S541_comb,GSE72056,GSM1850731
Cy81_Bulk_CD45_B04_S112_comb_GSM1850732,Cy81_Bulk_CD45_B04_S112_comb,GSE72056,GSM1850732
Cy74_CD45_G07_S463_comb_GSM1850733,Cy74_CD45_G07_S463_comb,GSE72056,GSM1850733
Cy71_CD45_G05_S557_comb_GSM1850734,Cy71_CD45_G05_S557_comb,GSE72056,GSM1850734
Cy81_Bulk_CD45_B08_S116_comb_GSM1850735,Cy81_Bulk_CD45_B08_S116_comb,GSE72056,GSM1850735
Cy81_FNA_CD45_A05_S197_comb_GSM1850736,Cy81_FNA_CD45_A05_S197_comb,GSE72056,GSM1850736
Cy81_FNA_CD45_H05_S281_comb_GSM1850737,Cy81_FNA_CD45_H05_S281_comb,GSE72056,GSM1850737
Cy81_FNA_CD45_A08_S200_comb_GSM1850738,Cy81_FNA_CD45_A08_S200_comb,GSE72056,GSM1850738
Cy72_CD45_A06_S678_comb_GSM1850739,Cy72_CD45_A06_S678_comb,GSE72056,GSM1850739
Cy72_CD45_F10_S742_comb_GSM1850740,Cy72_CD45_F10_S742_comb,GSE72056,GSM1850740
Cy74_CD45_B06_S402_comb_GSM1850741,Cy74_CD45_B06_S402_comb,GSE72056,GSM1850741
Cy74_CD45_H02_S470_comb_GSM1850742,Cy74_CD45_H02_S470_comb,GSE72056,GSM1850742
CY58_1_CD45_B08_S980_comb_GSM1850743,CY58_1_CD45_B08_S980_comb,GSE72056,GSM1850743
Cy80_II_CD45_C12_S900_comb_GSM1850744,Cy80_II_CD45_C12_S900_comb,GSE72056,GSM1850744
Cy74_CD45_A02_S386_comb_GSM1850745,Cy74_CD45_A02_S386_comb,GSE72056,GSM1850745
Cy72_CD45_F07_S739_comb_GSM1850746,Cy72_CD45_F07_S739_comb,GSE72056,GSM1850746
Cy81_FNA_CD45_F03_S351_comb_GSM1850747,Cy81_FNA_CD45_F03_S351_comb,GSE72056,GSM1850747
Cy71_CD45_C08_S512_comb_GSM1850748,Cy71_CD45_C08_S512_comb,GSE72056,GSM1850748
CY58_1_CD45_H08_S1052_comb_GSM1850749,CY58_1_CD45_H08_S1052_comb,GSE72056,GSM1850749
Cy81_Bulk_CD45_B05_S113_comb_GSM1850750,Cy81_Bulk_CD45_B05_S113_comb,GSE72056,GSM1850750
CY58_1_CD45_F08_S1028_comb_GSM1850751,CY58_1_CD45_F08_S1028_comb,GSE72056,GSM1850751
Cy74_CD45_C06_S414_comb_GSM1850752,Cy74_CD45_C06_S414_comb,GSE72056,GSM1850752
Cy71_CD45_F07_S547_comb_GSM1850753,Cy71_CD45_F07_S547_comb,GSE72056,GSM1850753
Cy72_CD45_A03_S675_comb_GSM1850754,Cy72_CD45_A03_S675_comb,GSE72056,GSM1850754
Cy81_FNA_CD45_F10_S262_comb_GSM1850755,Cy81_FNA_CD45_F10_S262_comb,GSE72056,GSM1850755
Cy74_CD45_E02_S434_comb_GSM1850756,Cy74_CD45_E02_S434_comb,GSE72056,GSM1850756
Cy72_CD45_C03_S699_comb_GSM1850757,Cy72_CD45_C03_S699_comb,GSE72056,GSM1850757
Cy81_FNA_CD45_G11_S275_comb_GSM1850758,Cy81_FNA_CD45_G11_S275_comb,GSE72056,GSM1850758
Cy81_FNA_CD45_B01_S205_comb_GSM1850759,Cy81_FNA_CD45_B01_S205_comb,GSE72056,GSM1850759
CY58_1_CD45_D06_S1002_comb_GSM1850760,CY58_1_CD45_D06_S1002_comb,GSE72056,GSM1850760
Cy72_CD45_D04_S712_comb_GSM1850761,Cy72_CD45_D04_S712_comb,GSE72056,GSM1850761
Cy72_CD45_C06_S702_comb_GSM1850762,Cy72_CD45_C06_S702_comb,GSE72056,GSM1850762
Cy71_CD45_B04_S496_comb_GSM1850763,Cy71_CD45_B04_S496_comb,GSE72056,GSM1850763
Cy74_CD45_F10_S454_comb_GSM1850764,Cy74_CD45_F10_S454_comb,GSE72056,GSM1850764
Cy72_CD45_C12_S708_comb_GSM1850765,Cy72_CD45_C12_S708_comb,GSE72056,GSM1850765
Cy72_CD45_E04_S724_comb_GSM1850766,Cy72_CD45_E04_S724_comb,GSE72056,GSM1850766
Cy81_Bulk_CD45_E11_S155_comb_GSM1850767,Cy81_Bulk_CD45_E11_S155_comb,GSE72056,GSM1850767
Cy81_FNA_CD45_B02_S206_comb_GSM1850768,Cy81_FNA_CD45_B02_S206_comb,GSE72056,GSM1850768
